price,sqft_living,sqft_above,sqft_lot,sqft_living15,sqft_lot15,sqft_basement,"BED_(2, 3]","BED_(3, 4]","BED_(4, 34]","BATH_(1, 2]","BATH_(2, 3]","BATH_(3, 9]","FLRS_(1, 2]","FLRS_(2, 4]","VIEW_(2, 4]",WFT_1.0,"CDTN_(2, 3]","CDTN_(3, 4]","CDTN_(4, 5]"
12.309982108920686,7.07326971745971,7.07326971745971,8.639410824140487,7.200424892944957,8.639410824140487,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0
13.195613839143922,7.851661177889265,7.682482446534506,8.887652690325586,7.432483807917119,8.94102198354136,400.0,1,0,0,0,1,0,1,0,0,0,1,0,0
12.100712129872347,6.646390514847729,6.646390514847729,9.210340371976184,7.908387159290043,8.994916943677111,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.311329476916953,7.580699752224563,6.956545443151569,8.517193191416238,7.215239978730097,8.517193191416238,910.0,0,1,0,0,1,0,0,0,0,0,0,0,1
13.142166004700508,7.426549072397305,7.426549072397305,8.997147151515142,7.495541943884256,8.923058219545728,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0
14.0225247273486,8.597851094433691,8.266164436612492,11.532041582162458,8.468002947225466,11.532041582162458,1530.0,0,1,0,0,0,1,0,0,0,0,1,0,0
12.343658308482738,7.484368643286131,6.956545443151569,8.918650278126863,7.484368643286131,9.001222992395064,730.0,1,0,0,0,0,0,0,0,0,0,1,0,0
12.685407602204794,7.5443321080536885,7.5443321080536885,8.788745881938135,7.779048644925556,8.931948346431495,0.0,1,0,0,0,1,0,1,0,0,0,1,0,0
13.403775836842515,8.177515823846075,7.528331766707247,9.189729418072059,7.700747794511798,9.09661160664784,1700.0,1,0,0,0,1,0,0,0,0,0,1,0,0
13.056223574899784,7.05617528410041,6.756932389247553,8.699514748210191,7.1929342212158,8.699514748210191,300.0,0,0,0,0,0,0,0,0,0,0,0,1,0
12.644327576461329,7.265429723253953,7.265429723253953,9.898525260706313,7.484368643286131,9.449121024069791,0.0,1,0,0,0,0,0,1,0,0,0,0,1,0
12.89921982609012,7.222566018822171,7.222566018822171,9.177817180270623,7.222566018822171,9.23092700558457,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0
13.180632285528304,7.501082124259871,7.501082124259871,8.48673398393153,7.215239978730097,8.48673398393153,0.0,0,0,1,1,0,0,1,0,0,0,1,0,0
13.38472764187182,7.989560449333865,7.590852123688581,8.517193191416238,7.668561108015897,8.294049640102028,970.0,0,1,0,0,1,0,1,0,1,0,1,0,0
12.886641043883259,7.5443321080536885,7.5443321080536885,9.549665677579801,7.5443321080536885,9.54809749706027,0.0,1,0,0,1,0,0,1,0,0,0,1,0,0
13.091904169919621,7.3777589082278725,7.3777589082278725,8.366370301681654,7.383989457978509,8.366370301681654,0.0,0,1,0,0,0,0,1,0,0,0,0,1,0
